title, price, discount, link
Daydayup Switch Carrying Case Compatible with Nintendo Switch/Switch OLED/ with 20 Games Cartridges Protective Hard Shell Travel Carrying Case Pouch for Console & Accessories/ Black, $25.99, 24, amazon.com/Daydayup-Carrying-Compatible-Cartridges-Protective-Accessories/dp/B0711K97BS/ref=sr_1_16?qid=1693317909&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-16
ASUS ROG Azoth 75% Wireless DIY Custom Gaming Keyboard/ OLED Display/ Three-Layer Dampening/ Hot-Swappable ROG NX Red Switches & Keyboard Stabilizers/ PBT Keycaps/ RGB-Black, $249.99, 16, amazon.com/ASUS-ROG-Three-Layer-Hot-Swappable-PBT/dp/B0BSKX8W3B/ref=sr_1_17?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-17
Saqico Head Strap for Oculus Quest 2/ 3-in-1 Adjustable Halo Headband/ Replacement for Elite Strap/ Enhanced Comfort and Gaming Immersion VR Accessories Compatible with Oculus/Meta Quest 2, $22.98, 20, amazon.com/Saqico-Adjustable-Replacement-Accessories-Compatible/dp/B0B2DFX3PB/ref=sr_1_18?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-18
NexiGo S32 Head Strap with 5300mAh Battery for Oculus Quest 2/ Carbon Fiber Dial/ Replacement Elite Accessories/ Enhanced Comfort Support/ Reduces Face and Head Pressure, $59.99, 33, amazon.com/NexiGo-S32-Replacement-Accessories-Enhanced/dp/B0B3RKNSM6/ref=sr_1_19?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-19
Switch Controller Compatible with Switch/Lite/OLED Controller/ Switch Pro Controller With RGB Breathing LED/ Switch Controllers Remote Supports Multi-Platform&App with Turbo/ Wake-up Function, $39.99, 40, amazon.com/Controller-Compatible-Breathing-Controllers-Multi-Platform/dp/B09NVRC89H/ref=sr_1_20?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-20
BENGOO Gaming Mouse Wired/ USB Optical Computer Mice with RGB Backlit/ 4 Adjustable DPI Up to 3600/ Ergonomic Gamer Laptop PC Mouse with 6 Programmable Buttons for Windows 7/8/10/XP Vista Linux -Black, $19.99, 55, amazon.com/BENGOO-Changing-Ergonomic-Computer-Adjustable/dp/B00Z9V0NKC/ref=sr_1_21?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-21
MOOGOLE PS4 Controller Wireless/ with USB Cable/1000mAh Battery/Dual Vibration/6-Axis Motion Control/3.5mm Audio Jack/Multi Touch Pad/Share Button/ PS4 Controller Compatible with PS4/Slim/Pro/PC, $25.98, 23, amazon.com/Controller-Wireless-1000mAh-Vibration-Compatible/dp/B0B67PQ6HR/ref=sr_1_22?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-22
HyperX Cloud Core – Wireless Gaming Headset for PC/ DTS Headphone:X Spatial Audio/ Memory Foam Ear Pads/ Durable Aluminum Frame/ Detachable Noise Cancelling Microphone/Black, $99.99, 50, amazon.com/HyperX-Cloud-Core-Detachable-Cancelling/dp/B09QX3VDVD/ref=sr_1_23?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-23
Snpurdiri 60% Wired Gaming Keyboard/ RGB Backlit Ultra-Compact Mini Keyboard/ Waterproof Small Compact 61 Keys Keyboard for PC/Mac Gamer/ Typist/ Travel/ Easy to Carry on Business Trip(Black-White), $31.99, 30, amazon.com/Snpurdiri-Keyboard-Ultra-Compact-Waterproof-Black-White/dp/B097T276QL/ref=sr_1_24?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-24
HyperX HHSS1C-KB-WT/G Cloud Stinger Core – Wireless Gaming Headset/ for PS4/ PS5/ PC/ Lightweight/ Durable Steel Sliders/ Noise-Cancelling Microphone - White, $79.99, 25, amazon.com/HyperX-Cloud-Stinger-Core-Noise-Cancelling/dp/B08BTHXJFN/ref=sr_1_25?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-25
Charger for Rechargeable Xbox One Controller Battery Pack with 4x2550mAh Batteries for Xbox Series X|S/Xbox One/ Battery Charger Station for Wireless Xbox One S/Xbox One X/Xbox One Elite Controllers, $39.99, 20, amazon.com/Rechargeable-Controller-4x2550mAh-Batteries-Controllers/dp/B09DYP57SD/ref=sr_1_26?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-26
NexiGo PS5 Wall Mount Kit with Charging Station/ Dual Controller Chargers/ Steel Wall Stand/ and Headphone Hanger - Compatible with Playstation 5 (Disc & Digital), $49.99, 20, amazon.com/NexiGo-Charging-Controller-Chargers-Headphone/dp/B0BSBJMW8S/ref=sr_1_27?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-27
Cooling Accessories for PS5/ KIWIHOME Horizontal Cooling Fan for PS5/ Upgraded Quiet Cooler Fan with LED Light and USB3.0 Hubs/ for PS5 Disc and Digital Edition(White), $35.99, 49, amazon.com/Cooling-KIWIHOME-Upgraded-Controller-Playstation/dp/B09NM9DTTC/ref=sr_1_28?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-28
HyperX Cloud Flight - Wireless Gaming Headset/ Long Lasting Battery up to 30 Hours/ Detachable Noise Cancelling Microphone/ Red LED Light/ Comfortable Memory Foam/ Works with PC/ PS4 & PS5, $139.99, 43, amazon.com/HyperX-Cloud-Flight-Detachable-Comfortable/dp/B077ZGRY9V/ref=sr_1_29?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-29
ASUS ROG Harpe Ace Aim Lab Edition Gaming Mouse/ 54 g Ultra-Lightwieght/ Connectivity (2.4GHz RF/ Bluetooth/ Wired)/ 36K DPI Sensor/ 5 Programmable Buttons/ ROG SpeedNova/ Esports & FPS Gaming/ Black, $149.99, 27, amazon.com/ASUS-ROG-Ultra-Lightwieght-Connectivity-Programmable/dp/B0BSKX9V7C/ref=sr_1_30?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-30
UHURU Wireless Gaming Mouse Up to 10000 DPI/ Rechargeable USB Wireless Mouse with 6 Buttons 7 Changeable LED Color Ergonomic Programmable MMO RPG for PC Laptop/ Compatible with Windows Mac, $29.99, 36, amazon.com/UHURU-Rechargeable-Changeable-Ergonomic-Programmable/dp/B071HVWD55/ref=sr_1_31?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-31
Charging Dock Replacement for Switch & Charger for Switch OLED Joy Con/ Charging Station for Switch with a USB Type-C Charging Cord- Black, $16.99, 28, amazon.com/Charging-Nintendo-Switch-Station-Type-C/dp/B073FJKD31/ref=sr_1_32?qid=1693317915&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-32
Switch Controller Charging Dock Station Compatible with Nintendo Switch & OLED Model Joycons/ KDD Switch Controller Charger Dock Station with Upgraded 8 Game Storage for Nintendo Switch Joycon & Games, $22.99, 48, amazon.com/KDD-Controller-Compatible-Nintendo-Charging/dp/B08FX5QKGD/ref=sr_1_33?qid=1693317918&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-33
